"Санкт-Петербург, проспект Ветеранов, 109к3, Ульянка, Санкт-Петербург",62.4,6/16,239,6795000,3,17,1998
"Санкт-Петербург, Загребский бульвар, 9, Георгиевский, Санкт-Петербург",105.0,20/23,240,17300000,3,9,1979
"Сестрорецк, Санкт-Петербург, улица Воскова, 5, Сестрорецк, Санкт-Петербург",90.7,17/23,241,13990000,2,23,2007
"Беринга ул, 23к2, Васильевский, Санкт-Петербург",110.6,7/17,242,17990000,4,16,2008
"Санкт-Петербург, Пушкин, Красносельское шоссе, 55, Пушкин, Санкт-Петербург",59.8,9/9,243,5900000,2,9,2017
"посёлок Парголово, Санкт-Петербург, улица Фёдора Абрамова, 23к1, Парголово, Санкт-Петербург",38.3,26/27,245,4500000,1,28,2015
"Ушаковская наб, 1к4, Чёрная речка, Санкт-Петербург",174.0,20/20,247,54000000,4,20,2015
"Россия, Санкт-Петербург, Репищева улица, д.7, Коломяги, Санкт-Петербург",109.0,5/7,248,13500000,3,9,1999
"Ждановская ул, 29, Чкаловское, Санкт-Петербург",112.0,6/8,249,28500000,3,9,2009
"Санкт-Петербург, Среднерогатская улица, 10к1, Звёздное, Санкт-Петербург",33.5,13/16,250,4275000,1,18,2018
"Санкт-Петербург, Среднерогатская улица, 12к1, Звёздное, Санкт-Петербург",34.6,12/19,254,4999000,1,18,2018
"Санкт-Петербург, Заневский проспект, 23, Малая Охта, Санкт-Петербург",32.0,1/5,255,4300000,1,5,1961
"Санкт-Петербург, Варшавская улица, 29к1, Новоизмайловское, Санкт-Петербург",35.9,2/6,256,5190000,1,10,1984
"Санкт-Петербург, Долгоозёрная улица, 10, Юнтолово, Санкт-Петербург",45.7,9/10,257,5800000,2,,
"Яхтенная ул., д.35, № 65, Санкт-Петербург",69.6,14/17,258,9200000,3,17,1994
"Глинки ул, 6, Адмиралтейский округ, Санкт-Петербург",73.8,1/3,259,10700000,2,4,1839
"Санкт-Петербург, Дачный проспект, 23к5, Дачное, Санкт-Петербург",53.7,2/3,261,6395000,2,3,1949
"Санкт-Петербург, Ждановская улица, 45, Петровский округ, Санкт-Петербург",66.3,7/10,262,14150000,2,15,2017
"Санкт-Петербург, улица Ворошилова, 33к1, Правобережный, Санкт-Петербург",45.0,10/22,264,5700000,1,22,2013
"Черкасова ул, 19к1, № 21, Санкт-Петербург",63.0,5/9,265,5800000,3,9,1970
"Санкт-Петербург, Казанская улица, 17-19, № 78, Санкт-Петербург",45.4,3/3,267,8999000,1,,
