adress,area,floor,price,rooms,total_floors,year
"Самара, Октябрьский район, 3-й проезд, 50, Октябрьский, Самара, Самарская область",44.0,15/16,2429800,1,,
"Самарская область,Самара,Советский район,Победы улица,2, Советский, Самара, Самарская область",35.2,4/5,1780000,1,5.0,1961.0
"Крутые Ключи, ул. Мира д.51, Красноглинский, Самара, Самарская область",29.1,1/3,1100000,1,3.0,2015.0
"Самарская область,Самара,Кировский район,15 микрорайон,Карла Маркса проспект,500, Кировский, Самара, Самарская область",46.0,4/5,1910000,2,5.0,1972.0
"ул Чехова, 18, с. Богатырь, Самара, Самарская область",30.2,4/5,990000,1,5.0,1991.0
"Самара, улица Свободы, 161, Кировский, Самара, Самарская область",39.4,3/9,2000000,1,9.0,1993.0
"Самара, Солнечная улица, 4, подъезд 3, Октябрьский, Самара, Самарская область",44.7,17/17,3650000,1,20.0,2012.0
"поселок Берёза, городской округ Самара, 4-й квартал, 12, Красноглинский, Самара, Самарская область",36.9,1/5,1600000,2,5.0,1977.0
"Самара, улица Свободы, 67, подъезд 3, Советский, Самара, Самарская область",22.0,1/5,1400000,1,5.0,1970.0
"Самара, улица Карла Либкнехта, 8, Октябрьский, Самара, Самарская область",43.1,12/23,2900000,1,22.0,2015.0
"ул. Земеца, 26 А, Кировский, Самара, Самарская область",23.0,5/5,1000000,1,5.0,1973.0
"Самара, улица Мориса Тореза, 9, Железнодорожный, Самара, Самарская область",31.0,2/5,1810000,1,,1.0
"ул Ново-Вокзальная, 191, Промышленный, Самара, Самарская область",47.7,4/5,2500000,2,5.0,1971.0
"Самара, улица Зои Космодемьянской, 21, Промышленный, Самара, Самарская область",87.0,12/16,6000000,2,16.0,2010.0
"Самарская область,Самара,Красноглинский район,поселок Берёза,3-й квартал,7, Красноглинский, Самара, Самарская область",67.0,1/5,2550000,3,5.0,1976.0
"посёлок Соцгород, Самара, Долотный переулок, 24, Куйбышевский, Самара, Самарская область",51.0,4/5,1850000,2,5.0,1979.0
"Самара, улица Гагарина, 167, подъезд 2, Советский, Самара, Самарская область",45.8,5/5,1920000,2,5.0,1961.0
"Самара, Владимирская улица, 30, Ленинский, Самара, Самарская область",22.0,8/9,1800000,1,9.0,1978.0
"Самара, Пролетарская улица, 177А, Железнодорожный, Самара, Самарская область",41.5,3/6,2980000,1,5.0,1962.0
"Самара, улица Мечникова, 5, Железнодорожный, Самара, Самарская область",102.0,10/16,5500000,3,19.0,2016.0
"Самарская область,Самара,Красноглинский район,Управленческий,Коптевская улица,1, Красноглинский, Самара, Самарская область",30.0,2/5,1600000,1,5.0,1971.0
"Самара, Томашевский тупик, 3, Промышленный, Самара, Самарская область",43.5,9/18,2800000,1,19.0,2007.0
"ул Крайняя, 16, Красноглинский, Самара, Самарская область",57.0,4/5,2400000,3,5.0,1974.0
"Самара, Щигровский переулок, 12, Промышленный, Самара, Самарская область",45.1,6/9,2450000,2,9.0,1999.0
"Самара, 5-я просека, 99Б, Октябрьский, Самара, Самарская область",51.4,9/22,3550000,1,23.0,2008.0
"микрорайон Крутые Ключи, Красноглинский район, Самара, улица Виталия Жалнина, 18, Красноглинский, Самара, Самарская область",46.0,1/3,2129000,2,3.0,2013.0
"Самарская область,Самара,Промышленный район,Заводское шоссе,57В, Промышленный, Самара, Самарская область",36.0,6/12,1950000,1,9.0,1982.0
"посёлок Соцгород, Самара, Долотный переулок, 16, Куйбышевский, Самара, Самарская область",42.0,4/9,1547000,1,9.0,1985.0
"Самарская область,Самара,Ленинский район,Полевая улица,71, Ленинский, Самара, Самарская область",80.0,18/25,6850000,2,26.0,2012.0
"Самара, проспект Карла Маркса, 475, Кировский, Самара, Самарская область",65.0,7/9,3100000,3,9.0,1987.0
"Самара, Тихвинская улица, 24, подъезд 4, Октябрьский, Самара, Самарская область",99.3,7/10,5700000,3,10.0,1995.0
"Самара, улица Георгия Димитрова, 5, Кировский, Самара, Самарская область",65.0,2/5,3300000,3,5.0,1971.0
"Россия, Самарская область, Самара, 7-я просека, 102, Промышленный, Самара, Самарская область",36.0,6/19,2390000,1,19.0,2014.0
"Самара, Садовая улица, 337, Ленинский, Самара, Самарская область",96.0,5/23,10000000,3,26.0,2013.0
"Самара, Печерская улица, 25, Октябрьский, Самара, Самарская область",49.2,13/22,3700000,1,2.0,1952.0
"поселок Прибрежный, Самара, Прибрежная улица, 8, Красноглинский, Самара, Самарская область",42.0,1/3,1020000,2,3.0,1960.0
"ул.Земеца 26 а, Кировский, Самара, Самарская область",24.6,1/5,1100000,1,5.0,1973.0
"Самара, Красноглинский район, посёлок Управленческий, Крайняя улица, 19, Красноглинский, Самара, Самарская область",53.0,3/9,2850000,2,9.0,1980.0
"Самара, улица Гастелло, 46, Октябрьский, Самара, Самарская область",95.0,9/14,7200000,3,17.0,2013.0
"ул Физкультурная, 123, Промышленный, Самара, Самарская область",30.3,4/5,1580000,1,5.0,1964.0
"Самара, улица Александра Матросова, 4, Советский, Самара, Самарская область",45.3,2/5,2500000,2,5.0,1960.0
"Самара, Красноглинский район, микрорайон Крутые Ключи, бульвар Ивана Финютина, 11, Красноглинский, Самара, Самарская область",31.0,3/3,1350000,1,3.0,2011.0
"Cоветской Армии 188, Октябрьский, Самара, Самарская область",53.0,5/9,3700000,2,9.0,1985.0
"ул. Черемшанская, д. 156, Кировский, Самара, Самарская область",67.0,9/9,3700000,3,9.0,1982.0
"Самара, 5-я просека, 104, Октябрьский, Самара, Самарская область",35.0,15/16,3250000,1,16.0,2013.0
"Самара, улица Гагарина, 17, Железнодорожный, Самара, Самарская область",44.0,2/5,2550000,2,5.0,1965.0
"ул. Виталия Талабаева, д. 8, Куйбышевский, Самара, Самарская область",65.6,13/16,2624000,2,,
"Евгения Золотухина, 29, Красноглинский, Самара, Самарская область",46.0,3/3,2200000,2,3.0,2012.0
"Самара, улица Гастелло, 41, Октябрьский, Самара, Самарская область",35.0,3/9,2000000,1,9.0,1992.0
"Самара, улица Стара Загора, 228, Кировский, Самара, Самарская область",60.3,9/9,3100000,3,9.0,1978.0
"Самарская область,Самара,Промышленный район,Калинина улица,100, Промышленный, Самара, Самарская область",38.0,1/2,2300000,2,2.0,1958.0
"Самара, Вольская улица, 87, Промышленный, Самара, Самарская область",82.0,12/16,4950000,2,17.0,2009.0
"Самарская область,Самара,Красноглинский район,Управленческий,Сергея Лазо улица,29, Красноглинский, Самара, Самарская область",45.0,4/5,1850000,2,5.0,1966.0
"Самара, Молодогвардейская улица, 209, Ленинский, Самара, Самарская область",65.0,3/8,4900000,2,8.0,1972.0
"улица Георгия Димитрова, 108, Промышленный, Самара, Самарская область",95.5,10/24,6699000,3,26.0,2015.0
"Самара, 10-й квартал, 16, Красноглинский, Самара, Самарская область",56.0,4/4,2650000,2,4.0,1958.0
"ул. Ново-Садовая, д. 201Б, Октябрьский, Самара, Самарская область",80.0,11/25,4780000,2,,
"Самара, улица Силина, 14, Промышленный, Самара, Самарская область",78.6,9/9,4400000,4,9.0,1981.0
"Самара, улица Губанова, 34, Промышленный, Самара, Самарская область",73.6,7/9,4100000,3,9.0,1989.0
"посёлок НПС Дружба, сельское поселение Лопатино, Волжский район, Самарская область, Молодёжная улица, 16, Самара, Самарская область",69.0,2/2,2399000,3,2.0,1976.0
"ул Челюскинцев, 11, Октябрьский, Самара, Самарская область",64.0,3/9,4100000,3,9.0,1974.0
"Самара, Солнечная улица, 67, Промышленный, Самара, Самарская область",70.0,4/10,4550000,3,10.0,1995.0
