adress,area,floor,price,rooms,total_floors,year,lat,lon
"Санкт-Петербург, Светлановский проспект, 107к2, Прометей, Санкт-Петербург",86.6,2/10,675,8600000,4,10,2000,60.038151
"Санкт-Петербург, проспект Ударников, 38, Пороховые, Санкт-Петербург",95.0,9/15,5361,6500000,5,15,1982,59.953664
"Александровской Фермы проспект, 2, Обуховский округ, Санкт-Петербург",63.0,8/25,38,7950000,2,18,1991,59.864101
"Санкт-Петербург, посёлок Парголово, улица Николая Рубцова, 5, Парголово, Санкт-Петербург",26.0,20/27,4629,3100000,0,28,2018,60.075986
"Богатырский пр-кт, 25к1, № 65, Санкт-Петербург",30.0,12/13,3083,5250000,0,14,2005,60.008698
"Санкт-Петербург, Русановская улица, 17к1, Народный, Санкт-Петербург",80.0,3/25,2256,8400000,2,23,2013,59.864851
"Белышева ул, 4, Невский округ, Санкт-Петербург",65.8,5/9,3801,5500000,3,9,1978,59.913496
"Санкт-Петербург, посёлок Парголово, Заречная улица, 33, Парголово, Санкт-Петербург",35.0,3/25,4633,4050000,1,27,2017,60.080932
"Санкт-Петербург, Южное шоссе, 55к3, № 75, Санкт-Петербург",83.0,2/24,5362,9750000,3,25,2015,59.862967
"Санкт-Петербург, Приморский проспект, 62к1, № 65, Санкт-Петербург",90.2,11/13,3090,13480000,3,13,2017,59.983067
"Гороховая ул, 42, № 78, Санкт-Петербург",76.0,4/4,677,11300000,3,4,1870,59.927234
"Санкт-Петербург, Пулковская улица, 2к1, Звёздное, Санкт-Петербург",168.0,11/16,39,15700000,4,16,2009,59.841844
"Санкт-Петербург, Варшавская улица, 19к5, Новоизмайловское, Санкт-Петербург",26.0,20/20,1508,4570000,0,20,2009,59.873735
"Санкт-Петербург, улица Латышских Стрелков, 11к1, Правобережный, Санкт-Петербург",55.0,1/12,2257,5575000,2,12,1986,59.928411
"Туристская ул, 24, № 65, Санкт-Петербург",39.8,3/12,4634,5700000,1,16,2011,60.000393
"Санкт-Петербург, Искровский проспект, 9, Невский округ, Санкт-Петербург",50.0,2/9,5363,4950000,2,,,59.910623
"Санкт-Петербург, Долгоозёрная улица, 14, Юнтолово, Санкт-Петербург",50.0,9/18,3803,6500000,1,18,2004,60.017423
"Санкт-Петербург, Фермское шоссе, 20к1, Комендантский аэродром, Санкт-Петербург",58.2,17/17,3091,12240000,2,16,2013,60.014185
"Санкт-Петербург, Большой проспект Васильевского острова, 84, № 7, Санкт-Петербург",101.2,7/10,678,19200000,3,11,2016,59.939487
"Реки Фонтанки наб, 28, Литейный округ, Санкт-Петербург",78.2,3/5,43,22500000,2,5,1831,59.939086
"Санкт-Петербург, проспект Королёва, 65, Коломяги, Санкт-Петербург",68.0,8/25,1509,8800000,2,25,2011,60.03354
"Санкт-Петербург, Рыбацкий проспект, 35, Рыбацкое, Санкт-Петербург",51.0,15/16,4636,5900000,2,16,1990,59.839665
"Кемская ул, 1, Чкаловское, Санкт-Петербург",137.8,6/8,2262,51500000,3,9,2007,59.973221
"Санкт-Петербург, Мытнинская набережная, 7/5, Введенский, Санкт-Петербург",180.0,6/6,5364,60000000,4,7,2012,59.948429
"Санкт-Петербург, проспект Испытателей, 8к1, Комендантский аэродром, Санкт-Петербург",90.0,16/16,679,13499000,3,,,60.003669
"Парголово п, Михаила Дудина ул, 23к1, Парголово, Санкт-Петербург",78.3,24/25,45,8150000,3,26,2011,60.069616
"Санкт-Петербург, улица Лёни Голикова, 29к8, Дачное, Санкт-Петербург",115.2,22/23,3095,14980000,3,23,2005,59.84131
"Санкт-Петербург, Русановская улица, 11, Народный, Санкт-Петербург",63.8,2/23,3804,5749999,2,23,2013,59.863513
"Санкт-Петербург, Загребский бульвар, 9, Георгиевский, Санкт-Петербург",51.0,22/23,2264,7500000,1,9,1979,59.844985
"Санкт-Петербург, Народная улица, 71, Народный, Санкт-Петербург",30.3,2/5,4637,3300000,1,5,1962,59.883142
"Россия, Санкт-Петербург, Петроградский р-н, метро Новокрестовская, Пионерская ул., 50, Петровский округ, Санкт-Петербург",117.0,7/16,1512,19289000,3,14,2012,59.95962
"Санкт-Петербург, Русановская улица, 19к1, Народный, Санкт-Петербург",29.4,19/23,5368,3050000,0,23,2013,59.864887
"ул третья Советская, 22, Смольнинское, Санкт-Петербург",77.0,4/5,681,14800000,3,4,1895,59.932468
"Санкт-Петербург, Пискарёвский проспект, 9к3, Полюстрово, Санкт-Петербург",29.5,1/5,3097,3390000,1,5,1966,59.963593
"Санкт-Петербург, Ленинский проспект, 53к1, Южно-Приморский округ, Санкт-Петербург",43.4,17/17,46,3950000,1,17,2013,59.863093
"Варшавская ул, 6к2, Московская застава, Санкт-Петербург",42.1,10/15,3805,8850000,1,16,2016,59.879353
"Санкт-Петербург, Херсонская улица, 1/7, Смольнинское, Санкт-Петербург",171.0,5/6,2268,20500000,5,6,1906,59.92984
"Санкт-Петербург, Купчинская улица, 17к1, Георгиевский, Санкт-Петербург",30.0,9/9,1514,3500000,1,9,1974,59.838051
"посёлок Мурино, Всеволожский район, Ленинградская область, Охтинская аллея, 2, Санкт-Петербург",31.0,20/22,4638,3400000,1,23,2015,60.048966
"Санкт-Петербург, Дунайский проспект, 7к7, Звёздное, Санкт-Петербург",64.0,3/9,5370,8950000,2,23,2013,59.826302
"Санкт-Петербург, посёлок Парголово, улица Валерия Гаврилина, 3к2, Парголово, Санкт-Петербург",40.0,9/25,682,4800000,1,27,2012,60.073167
"Санкт-Петербург, проспект Пятилеток, 16к2, подъезд 1, Правобережный, Санкт-Петербург",79.0,8/14,3098,9500000,3,16,1991,59.923396
"Бойцова переулок, 6, Сенной округ, Санкт-Петербург",60.0,1/6,1520,7250000,2,6,1849,59.921547
"Санкт-Петербург, Смольный проспект, 17, Смольнинское, Санкт-Петербург",80.0,5/7,3806,13900000,2,10,2017,59.944292
"Санкт-Петербург, Комендантский проспект, 50к1, Юнтолово, Санкт-Петербург",44.8,7/7,49,4900000,1,10,2001,60.028568
"Октябрьская наб, 70к4, Народный, Санкт-Петербург",93.1,5/9,2269,11200000,3,9,1998,59.875741
"Санкт-Петербург, набережная реки Смоленки, 3к2, Остров Декабристов, Санкт-Петербург",50.1,9/10,5373,9300000,1,11,2015,59.94969
"Ленинградская область, Всеволожский район, посёлок Мурино, проспект Авиаторов Балтики, 11/1, Санкт-Петербург",23.4,8/12,685,2400000,0,12,2018,60.055111
"ул. Маршала Тухачевского, д. 23, Полюстрово, Санкт-Петербург",54.2,12/16,50,5325000,1,16,2017,59.968263
"Типанова ул, 38, Гагаринское, Санкт-Петербург",53.6,8/14,3100,6550000,1,14,,59.852814
"Санкт-Петербург, Выборгское шоссе, 17к4, Шувалово-Озерки, Санкт-Петербург",64.0,5/21,4640,9965000,2,23,2008,60.05499
"Санкт-Петербург, Бестужевская улица, 45, Полюстрово, Санкт-Петербург",45.8,2/5,1521,4500000,2,5,1963,59.978512
"Большевиков пр-кт, 11к2, Невский округ, Санкт-Петербург",37.7,4/15,3808,5200000,1,15,2012,59.911367
